Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-2016,2015-08-10,Mon,Premier League,Matchweek 1,Away,W 3–0,Manchester City,West Brom,Y*,CB,90,1,0,0,0,1,1,0,0,1,0,0,0,0,2,0,,,Match Report
2015-2016,2015-08-16,Sun,Premier League,Matchweek 2,Home,W 3–0,Manchester City,Chelsea,Y*,CB,90,1,0,0,0,1,1,1,0,2,1,0,0,1,0,0,,,Match Report
2015-2016,2015-08-23,Sun,Premier League,Matchweek 3,Away,W 2–0,Manchester City,Everton,Y*,CB,90,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,,,Match Report
2015-2016,2015-08-29,Sat,Premier League,Matchweek 4,Home,W 2–0,Manchester City,Watford,Y*,LB,90,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,,,Match Report
2015-2016,2015-09-03,Thu,Euro Qualifying,Group stage,Home,W 3–1,be Belgium,ba Bosnia and Herzegovina,Y*,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,Match Report
2015-2016,2015-09-06,Sun,Euro Qualifying,Group stage,Away,W 1–0,be Belgium,cy Cyprus,Y*,CB,90,0,0,0,0,0,0,1,0,3,0,0,0,2,2,0,0,0,Match Report
2015-2016,2015-09-12,Sat,Premier League,Matchweek 5,Away,W 1–0,Manchester City,Crystal Palace,Y*,RB,90,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,,,Match Report
2015-2016,2015-09-15,Tue,Champions Lg,Group stage,Home,L 1–2,eng Manchester City,it Juventus,Y*,CB,75,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,0,0,Match Report
2015-2016,2015-09-26,Sat,Premier League,Matchweek 7,Away,L 1–4,Manchester City,Tottenham,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-10-13,Tue,Euro Qualifying,Group stage,Home,W 3–1,be Belgium,il Israel,Y*,CB,57,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2015-10-17,Sat,Premier League,Matchweek 9,Home,W 5–1,Manchester City,Bournemouth,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-10-21,Wed,Champions Lg,Group stage,Home,W 2–1,eng Manchester City,es Sevilla,N,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2015-10-25,Sun,Premier League,Matchweek 10,Away,D 0–0,Manchester City,Manchester Utd,Y*,CB,90,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,,,Match Report
2015-2016,2015-10-28,Wed,League Cup,Fourth round,Home,W 5–1,Manchester City,Crystal Palace,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-10-31,Sat,Premier League,Matchweek 11,Home,W 2–1,Manchester City,Norwich City,Y*,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,,,Match Report
2015-2016,2015-11-03,Tue,Champions Lg,Group stage,Away,W 3–1,eng Manchester City,es Sevilla,Y*,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,Match Report
