Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-2016,2015-08-02,Sun,Community Shield,FA Community Shield,Neutral,W 1–0,Arsenal,Chelsea,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-08-09,Sun,Premier League,Matchweek 1,Home,L 0–2,Arsenal,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,0,2,0,0,1,3,0,,,Match Report
2015-2016,2015-08-16,Sun,Premier League,Matchweek 2,Away,W 2–1,Arsenal,Crystal Palace,Y,CB,90,0,0,0,0,1,0,0,0,0,1,0,0,2,4,0,,,Match Report
2015-2016,2015-08-29,Sat,Premier League,Matchweek 4,Away,W 1–0,Arsenal,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,,,Match Report
2015-2016,2015-09-04,Fri,Friendlies (M),Friendlies (M),Away,W 1–0,fr France,pt Portugal,Y,CB,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-09-07,Mon,Friendlies (M),Friendlies (M),Home,W 2–1,fr France,rs Serbia,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-09-12,Sat,Premier League,Matchweek 5,Home,W 2–0,Arsenal,Stoke City,Y,CB,90,0,0,0,0,2,2,0,0,0,1,0,0,2,7,0,,,Match Report
2015-2016,2015-09-16,Wed,Champions Lg,Group stage,Away,L 1–2,eng Arsenal,hr Dinamo Zagreb,Y,CB,90,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,Match Report
2015-2016,2015-09-19,Sat,Premier League,Matchweek 6,Away,L 0–2,Arsenal,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,,,Match Report
2015-2016,2015-09-26,Sat,Premier League,Matchweek 7,Away,W 5–2,Arsenal,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0,,,Match Report
2015-2016,2015-09-29,Tue,Champions Lg,Group stage,Home,L 2–3,eng Arsenal,gr Olympiacos,Y,CB,57,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,Match Report
2015-2016,2015-10-17,Sat,Premier League,Matchweek 9,Away,W 3–0,Arsenal,Watford,Y,CB,90,0,0,0,0,1,0,0,0,3,1,0,0,4,5,0,,,Match Report
2015-2016,2015-10-20,Tue,Champions Lg,Group stage,Home,W 2–0,eng Arsenal,de Bayern Munich,Y,CB,90,0,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,Match Report
2015-2016,2015-10-24,Sat,Premier League,Matchweek 10,Home,W 2–1,Arsenal,Everton,Y,CB,90,1,0,0,0,1,1,0,0,0,1,0,0,2,5,0,,,Match Report
2015-2016,2015-10-31,Sat,Premier League,Matchweek 11,Away,W 3–0,Arsenal,Swansea City,Y,CB,90,1,0,0,0,2,1,0,0,0,2,0,0,1,5,0,,,Match Report
2015-2016,2015-11-04,Wed,Champions Lg,Group stage,Away,L 1–5,eng Arsenal,de Bayern Munich,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-11-08,Sun,Premier League,Matchweek 12,Home,D 1–1,Arsenal,Tottenham,Y,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,,,Match Report
2015-2016,2015-11-13,Fri,Friendlies (M),Friendlies (M),Home,W 2–0,fr France,de Germany,Y,CB,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-11-17,Tue,Friendlies (M),Friendlies (M),Away,L 0–2,fr France,eng England,Y,CB,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-11-21,Sat,Premier League,Matchweek 13,Away,L 1–2,Arsenal,West Brom,Y,CB,90,0,0,0,0,1,1,0,0,0,1,0,1,0,3,0,,,Match Report
2015-2016,2015-11-24,Tue,Champions Lg,Group stage,Home,W 3–0,eng Arsenal,hr Dinamo Zagreb,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,Match Report
2015-2016,2015-11-29,Sun,Premier League,Matchweek 14,Away,D 1–1,Arsenal,Norwich City,Y,CB,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
2015-2016,2015-12-05,Sat,Premier League,Matchweek 15,Home,W 3–1,Arsenal,Sunderland,Y,CB,90,0,0,0,0,0,0,1,0,3,1,0,0,1,4,0,,,Match Report
2015-2016,2015-12-09,Wed,Champions Lg,Group stage,Away,W 3–0,eng Arsenal,gr Olympiacos,Y,CB,90,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,Match Report
2015-2016,2015-12-13,Sun,Premier League,Matchweek 16,Away,W 2–0,Arsenal,Aston Villa,Y,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,,,Match Report
2015-2016,2015-12-21,Mon,Premier League,Matchweek 17,Home,W 2–1,Arsenal,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,,,Match Report
2015-2016,2015-12-26,Sat,Premier League,Matchweek 18,Away,L 0–4,Arsenal,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,2,1,0,0,1,4,0,,,Match Report
2015-2016,2015-12-28,Mon,Premier League,Matchweek 19,Home,W 2–0,Arsenal,Bournemouth,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-01-02,Sat,Premier League,Matchweek 20,Home,W 1–0,Arsenal,Newcastle Utd,Y,CB,90,1,0,0,0,2,1,0,0,3,1,0,0,2,5,0,,,Match Report
2015-2016,2016-01-09,Sat,FA Cup,Third round,Home,W 3–1,Arsenal,Sunderland,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-01-13,Wed,Premier League,Matchweek 21,Away,D 3–3,Arsenal,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,,,Match Report
2015-2016,2016-01-17,Sun,Premier League,Matchweek 22,Away,D 0–0,Arsenal,Stoke City,Y,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,,,Match Report
2015-2016,2016-01-24,Sun,Premier League,Matchweek 23,Home,L 0–1,Arsenal,Chelsea,Y,CB,90,0,0,0,0,0,0,1,0,2,1,0,0,3,1,0,,,Match Report
2015-2016,2016-01-30,Sat,FA Cup,Fourth round,Home,W 2–1,Arsenal,Burnley,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2016-02-02,Tue,Premier League,Matchweek 24,Home,D 0–0,Arsenal,Southampton,Y*,CB,90,0,0,0,0,2,0,0,0,0,1,0,0,2,6,0,,,Match Report
2015-2016,2016-02-07,Sun,Premier League,Matchweek 25,Away,W 2–0,Arsenal,Bournemouth,Y*,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,,Match Report
2015-2016,2016-02-14,Sun,Premier League,Matchweek 26,Home,W 2–1,Arsenal,Leicester City,Y,CB,45,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,,,Match Report
2015-2016,2016-02-20,Sat,FA Cup,Fifth round,Home,D 0–0,Arsenal,Hull City,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2016-02-23,Tue,Champions Lg,Round of 16,Home,L 0–2,eng Arsenal,es Barcelona,Y,CB,90,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,Match Report
2015-2016,2016-02-28,Sun,Premier League,Matchweek 27,Away,L 2–3,Arsenal,Manchester Utd,Y*,CB,90,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,,,Match Report
2015-2016,2016-03-16,Wed,Champions Lg,Round of 16,Away,L 1–3,eng Arsenal,es Barcelona,Y*,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,Match Report
2015-2016,2016-03-19,Sat,Premier League,Matchweek 31,Away,W 2–0,Arsenal,Everton,Y*,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,,,Match Report
2015-2016,2016-03-25,Fri,Friendlies (M),Friendlies (M),Away,W 3–2,fr France,nl Netherlands,Y,CB,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-03-29,Tue,Friendlies (M),Friendlies (M),Home,W 4–2,fr France,ru Russia,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-04-02,Sat,Premier League,Matchweek 32,Home,W 4–0,Arsenal,Watford,Y*,CB,90,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,,,Match Report
2015-2016,2016-04-09,Sat,Premier League,Matchweek 33,Away,D 3–3,Arsenal,West Ham,Y*,CB,90,1,0,0,0,1,1,0,0,1,3,0,0,1,3,0,,,Match Report
2015-2016,2016-04-17,Sun,Premier League,Matchweek 34,Home,D 1–1,Arsenal,Crystal Palace,Y*,CB,90,0,0,0,0,1,0,0,0,3,0,0,1,2,3,0,,,Match Report
2015-2016,2016-04-21,Thu,Premier League,Matchweek 30,Home,W 2–0,Arsenal,West Brom,Y,CB,90,0,0,0,0,0,0,0,0,3,1,0,0,1,3,0,,,Match Report
