League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,36,36,"3,195",35.5,0.08,0.06,0.14,0.08,0.14
EPL,2018-2019,2,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,33,31,"2,459",27.3,0.77,0.29,1.06,0.70,0.99
EPL,2018-2019,3,Nathan Aké,nl NED,DF,Bournemouth,23,1995,38,38,"3,411",37.9,0.11,0.00,0.11,0.11,0.11
EPL,2018-2019,4,Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,27,18,"1,625",18.1,0.11,0.11,0.22,0.11,0.22
EPL,2018-2019,5,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,34,33,"2,922",32.5,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,6,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,27,"2,462",27.4,0.04,0.44,0.48,0.04,0.48
EPL,2018-2019,7,Alisson,br BRA,GK,Liverpool,25,1992,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,8,Dele Alli,eng ENG,"MF,FW",Tottenham,22,1996,25,22,"1,825",20.3,0.25,0.15,0.39,0.25,0.39
EPL,2018-2019,9,Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,24,1994,10,9,759,8.4,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,10,Marcos Alonso,es ESP,DF,Chelsea,27,1990,31,31,"2,759",30.7,0.07,0.13,0.20,0.07,0.20
EPL,2018-2019,11,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,9,7,641,7.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,12,Luke Amos,eng ENG,MF,Tottenham,21,1997,1,0,3,0.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,13,Felipe Anderson,br BRA,"FW,MF",West Ham,25,1993,36,36,"3,043",33.8,0.27,0.12,0.38,0.27,0.38
EPL,2018-2019,14,Florin Andone,ro ROU,FW,Brighton,25,1993,23,8,881,9.8,0.31,0.00,0.31,0.31,0.31
EPL,2018-2019,15,Michail Antonio,eng ENG,"FW,MF",West Ham,28,1990,33,22,"2,103",23.4,0.26,0.17,0.43,0.26,0.43
EPL,2018-2019,16,Stuart Armstrong,sco SCO,"MF,FW",Southampton,26,1992,29,16,"1,432",15.9,0.19,0.13,0.31,0.19,0.31
EPL,2018-2019,17,Marko Arnautović,at AUT,FW,West Ham,29,1989,28,24,"1,990",22.1,0.45,0.18,0.63,0.41,0.59
EPL,2018-2019,18,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,"3,240",36.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,19,Harry Arter,ie IRL,MF,Cardiff City,28,1989,25,24,"1,997",22.2,0.00,0.05,0.05,0.00,0.05
EPL,2018-2019,20,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,26,1992,28,15,"1,493",16.6,0.06,0.00,0.06,0.06,0.06
EPL,2018-2019,21,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,29,1989,36,30,"2,726",30.3,0.73,0.17,0.89,0.59,0.76
EPL,2018-2019,22,Serge Aurier,ci CIV,"DF,MF",Tottenham,25,1992,8,6,564,6.3,0.00,0.32,0.32,0.00,0.32
EPL,2018-2019,23,Charlie Austin,eng ENG,FW,Southampton,29,1989,25,11,983,10.9,0.18,0.18,0.37,0.18,0.37
EPL,2018-2019,24,Jordan Ayew,gh GHA,FW,Crystal Palace,26,1991,20,14,"1,181",13.1,0.08,0.15,0.23,0.08,0.23
EPL,2018-2019,25,Floyd Ayité,tg TOG,"FW,MF",Fulham,29,1988,16,3,476,5.3,0.19,0.00,0.19,0.19,0.19
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,26,César Azpilicueta,es ESP,DF,Chelsea,28,1989,38,38,"3,402",37.8,0.03,0.13,0.16,0.03,0.16
EPL,2018-2019,27,Ryan Babel,nl NED,FW,Fulham,31,1986,16,15,"1,251",13.9,0.36,0.22,0.58,0.36,0.58
EPL,2018-2019,28,Juninho Bacuna,cw CUW,"MF,DF",Huddersfield,20,1997,21,16,"1,412",15.7,0.06,0.00,0.06,0.06,0.06
EPL,2018-2019,29,Leandro Bacuna,cw CUW,"MF,DF",Cardiff City,26,1991,11,4,561,6.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,30,Eric Bailly,ci CIV,DF,Manchester Utd,24,1994,12,8,638,7.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,31,Leighton Baines,eng ENG,DF,Everton,33,1984,6,5,375,4.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,32,Fabián Balbuena,py PAR,DF,West Ham,26,1991,23,23,"2,013",22.4,0.04,0.00,0.04,0.04,0.04
EPL,2018-2019,33,Leon Balogun,ng NGA,DF,Brighton,30,1988,8,5,594,6.6,0.15,0.00,0.15,0.15,0.15
EPL,2018-2019,34,Sol Bamba,ci CIV,DF,Cardiff City,33,1985,28,28,"2,474",27.5,0.15,0.04,0.18,0.15,0.18
EPL,2018-2019,35,Phil Bardsley,sco SCO,DF,Burnley,33,1985,19,19,"1,670",18.6,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,36,Ross Barkley,eng ENG,MF,Chelsea,24,1993,27,13,"1,245",13.8,0.22,0.36,0.58,0.22,0.58
EPL,2018-2019,37,Ashley Barnes,eng ENG,FW,Burnley,28,1989,37,26,"2,388",26.5,0.45,0.08,0.53,0.38,0.45
EPL,2018-2019,38,Harvey Barnes,eng ENG,"FW,MF",Leicester City,20,1997,16,11,"1,004",11.2,0.09,0.18,0.27,0.09,0.27
EPL,2018-2019,39,Antonio Barreca,it ITA,DF,Newcastle Utd,23,1995,1,0,5,0.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,40,Michy Batshuayi,be BEL,FW,Crystal Palace,24,1993,11,9,750,8.3,0.60,0.00,0.60,0.60,0.60
EPL,2018-2019,41,Jan Bednarek,pl POL,DF,Southampton,22,1996,25,24,"2,151",23.9,0.00,0.04,0.04,0.00,0.04
EPL,2018-2019,42,Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24,24,"2,160",24.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,43,Héctor Bellerín,es ESP,DF,Arsenal,23,1995,19,18,"1,533",17.0,0.00,0.29,0.29,0.00,0.29
EPL,2018-2019,44,Joe Bennett,eng ENG,DF,Cardiff City,28,1990,30,30,"2,639",29.3,0.00,0.03,0.03,0.00,0.03
EPL,2018-2019,45,Ryan Bennett,eng ENG,DF,Wolves,28,1990,34,34,"3,060",34.0,0.03,0.00,0.03,0.03,0.03
EPL,2018-2019,46,Christian Benteke,be BEL,FW,Crystal Palace,27,1990,16,9,814,9.0,0.11,0.11,0.22,0.11,0.22
EPL,2018-2019,47,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,27,1990,29,19,"1,752",19.5,0.15,0.31,0.46,0.15,0.46
EPL,2018-2019,48,Bernard,br BRA,"FW,MF",Everton,25,1992,34,25,"2,116",23.5,0.04,0.13,0.17,0.04,0.17
EPL,2018-2019,49,Bernardo,br BRA,DF,Brighton,23,1995,22,19,"1,752",19.5,0.00,0.05,0.05,0.00,0.05
EPL,2018-2019,50,Ryan Bertrand,eng ENG,DF,Southampton,28,1989,24,24,"2,160",24.0,0.04,0.00,0.04,0.04,0.04
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,51,Marcus Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,7.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,52,Philip Billing,dk DEN,MF,Huddersfield,22,1996,27,25,"2,188",24.3,0.08,0.00,0.08,0.08,0.08
EPL,2018-2019,53,Yves Bissouma,ml MLI,MF,Brighton,21,1996,28,17,"1,774",19.7,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,54,Willy Boly,ci CIV,DF,Wolves,27,1991,36,36,"3,167",35.2,0.11,0.00,0.11,0.11,0.11
EPL,2018-2019,55,Léo Bonatini,br BRA,FW,Wolves,24,1994,7,0,135,1.5,0.00,0.67,0.67,0.00,0.67
EPL,2018-2019,56,Gaëtan Bong,cm CMR,DF,Brighton,30,1988,22,19,"1,808",20.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,57,Artur Boruc,pl POL,GK,Bournemouth,38,1980,12,12,"1,080",12.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,58,Robbie Brady,ie IRL,"MF,FW",Burnley,26,1992,16,6,720,8.0,0.00,0.12,0.12,0.00,0.12
EPL,2018-2019,59,Miguel Britos,uy URU,DF,Watford,33,1985,3,2,185,2.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,60,David Brooks,wal WAL,"MF,FW",Bournemouth,21,1997,30,29,"2,261",25.1,0.28,0.20,0.48,0.28,0.48
EPL,2018-2019,61,Bruno,es ESP,DF,Brighton,37,1980,14,14,"1,131",12.6,0.00,0.08,0.08,0.00,0.08
EPL,2018-2019,62,Joe Bryan,eng ENG,DF,Fulham,24,1993,28,27,"2,345",26.1,0.00,0.04,0.04,0.00,0.04
EPL,2018-2019,63,David Button,eng ENG,GK,Brighton,29,1989,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,64,Willy Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,65,Gary Cahill,eng ENG,DF,Chelsea,32,1985,2,0,24,0.3,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,66,Tom Cairney,sco SCO,"MF,FW",Fulham,27,1991,31,24,"2,194",24.4,0.04,0.04,0.08,0.04,0.08
EPL,2018-2019,67,Dominic Calvert-Lewin,eng ENG,FW,Everton,21,1997,35,19,"1,784",19.8,0.30,0.10,0.40,0.30,0.40
EPL,2018-2019,68,Rafael Camacho,pt POR,DF,Liverpool,18,2000,1,0,1,0.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,69,Víctor Camarasa,es ESP,MF,Cardiff City,24,1994,32,31,"2,569",28.5,0.18,0.14,0.32,0.18,0.32
EPL,2018-2019,70,Étienne Capoue,fr FRA,MF,Watford,30,1988,33,33,"2,944",32.7,0.03,0.09,0.12,0.03,0.12
EPL,2018-2019,71,Andy Carroll,eng ENG,FW,West Ham,29,1989,12,3,461,5.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,72,Jonny Castro,es ESP,"DF,MF",Wolves,24,1994,33,32,"2,771",30.8,0.03,0.03,0.06,0.03,0.06
EPL,2018-2019,73,Craig Cathcart,nir NIR,DF,Watford,29,1989,36,35,"3,096",34.4,0.09,0.00,0.09,0.09,0.09
EPL,2018-2019,74,Ivan Cavaleiro,pt POR,"FW,MF",Wolves,24,1993,23,6,693,7.7,0.39,0.13,0.52,0.39,0.52
EPL,2018-2019,75,Petr Čech,cz CZE,GK,Arsenal,36,1982,7,7,584,6.5,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,76,Nathaniel Chalobah,eng ENG,"MF,FW",Watford,23,1994,9,3,270,3.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,77,Calum Chambers,eng ENG,"MF,DF",Fulham,23,1995,31,29,"2,588",28.8,0.07,0.00,0.07,0.07,0.07
EPL,2018-2019,78,Ben Chilwell,eng ENG,DF,Leicester City,21,1996,36,36,"3,240",36.0,0.00,0.11,0.11,0.00,0.11
EPL,2018-2019,79,Tahith Chong,nl NED,FW,Manchester Utd,18,1999,2,0,38,0.4,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,80,Hamza Choudhury,eng ENG,MF,Leicester City,20,1997,9,7,595,6.6,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,81,Andreas Christensen,dk DEN,DF,Chelsea,22,1996,8,6,617,6.9,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,82,Cyrus Christie,ie IRL,DF,Fulham,25,1992,28,19,"1,948",21.6,0.00,0.05,0.05,0.00,0.05
EPL,2018-2019,83,Ibrahima Cissé,gn GUI,"MF,FW",Fulham,24,1994,3,1,88,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,84,Ciaran Clark,ie IRL,DF,Newcastle Utd,28,1989,11,9,858,9.5,0.31,0.00,0.31,0.31,0.31
EPL,2018-2019,85,Tom Cleverley,eng ENG,"MF,FW",Watford,28,1989,13,4,478,5.3,0.19,0.00,0.19,0.19,0.19
EPL,2018-2019,86,Nathaniel Clyne,eng ENG,DF,Bournemouth,27,1991,14,13,"1,143",12.7,0.00,0.08,0.08,0.00,0.08
EPL,2018-2019,87,Nathaniel Clyne,eng ENG,DF,Liverpool,27,1991,4,1,111,1.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,88,Conor Coady,eng ENG,DF,Wolves,25,1993,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,89,Joel Coleman,eng ENG,GK,Huddersfield,22,1995,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,90,Séamus Coleman,ie IRL,DF,Everton,29,1988,29,29,"2,558",28.4,0.07,0.07,0.14,0.07,0.14
EPL,2018-2019,91,Lewis Cook,eng ENG,MF,Bournemouth,21,1997,13,8,723,8.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,92,Steve Cook,eng ENG,DF,Bournemouth,27,1991,31,31,"2,786",31.0,0.03,0.03,0.06,0.03,0.06
EPL,2018-2019,93,Jack Cork,eng ENG,MF,Burnley,29,1989,37,37,"3,312",36.8,0.03,0.05,0.08,0.03,0.08
EPL,2018-2019,94,Hélder Costa,pt POR,"FW,MF",Wolves,24,1994,25,16,"1,341",14.9,0.07,0.13,0.20,0.07,0.20
EPL,2018-2019,95,Aaron Cresswell,eng ENG,DF,West Ham,28,1989,20,18,"1,589",17.7,0.00,0.06,0.06,0.00,0.06
EPL,2018-2019,96,Peter Crouch,eng ENG,FW,Burnley,37,1981,6,0,92,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,97,Greg Cunningham,ie IRL,DF,Cardiff City,27,1991,7,7,630,7.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,98,Diogo Dalot,pt POR,"DF,MF",Manchester Utd,19,1999,16,12,"1,013",11.3,0.00,0.18,0.18,0.00,0.18
EPL,2018-2019,99,Matty Daly,eng ENG,MF,Huddersfield,17,2001,2,0,75,0.8,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,100,Loïc Damour,fr FRA,MF,Cardiff City,27,1991,2,0,23,0.3,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,101,Charlie Daniels,eng ENG,DF,Bournemouth,31,1986,21,17,"1,585",17.6,0.06,0.00,0.06,0.06,0.06
EPL,2018-2019,102,Danilo,br BRA,DF,Manchester City,27,1991,11,9,807,9.0,0.11,0.00,0.11,0.11,0.11
EPL,2018-2019,103,Scott Dann,eng ENG,DF,Crystal Palace,31,1987,10,7,663,7.4,0.00,0.14,0.14,0.00,0.14
EPL,2018-2019,104,Matteo Darmian,it ITA,DF,Manchester Utd,28,1989,6,5,443,4.9,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,105,Ben Davies,wal WAL,DF,Tottenham,25,1993,27,20,"1,844",20.5,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,106,Tom Davies,eng ENG,MF,Everton,20,1998,16,10,980,10.9,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,107,Steven Davis,nir NIR,MF,Southampton,33,1985,3,1,98,1.1,0.00,0.92,0.92,0.00,0.92
EPL,2018-2019,108,Kevin De Bruyne,be BEL,MF,Manchester City,27,1991,19,11,975,10.8,0.18,0.18,0.37,0.18,0.37
EPL,2018-2019,109,Troy Deeney,eng ENG,FW,Watford,30,1988,32,28,"2,545",28.3,0.32,0.18,0.50,0.28,0.46
EPL,2018-2019,110,Jermain Defoe,eng ENG,"DF,FW",Bournemouth,35,1982,4,0,25,0.3,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,111,Steven Defour,be BEL,MF,Burnley,30,1988,6,6,448,5.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,112,Fabian Delph,eng ENG,DF,Manchester City,28,1989,11,8,725,8.1,0.00,0.12,0.12,0.00,0.12
EPL,2018-2019,113,Mousa Dembélé,be BEL,MF,Tottenham,31,1987,10,7,515,5.7,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,114,Leander Dendoncker,be BEL,MF,Wolves,23,1995,19,17,"1,467",16.3,0.12,0.00,0.12,0.12,0.12
EPL,2018-2019,115,Laurent Depoitre,be BEL,FW,Huddersfield,29,1988,23,10,"1,068",11.9,0.00,0.08,0.08,0.00,0.08
EPL,2018-2019,116,Gerard Deulofeu,es ESP,FW,Watford,24,1994,30,26,"2,066",23.0,0.44,0.22,0.65,0.44,0.65
EPL,2018-2019,117,Fousseni Diabaté,ml MLI,FW,Leicester City,22,1995,1,1,54,0.6,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,118,Adama Diakhaby,fr FRA,"FW,MF",Huddersfield,22,1996,12,6,552,6.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,119,Mohamed Diamé,sn SEN,MF,Newcastle Utd,31,1987,29,24,"2,166",24.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,120,Grady Diangana,eng ENG,"FW,MF",West Ham,20,1998,17,6,609,6.8,0.00,0.15,0.15,0.00,0.15
EPL,2018-2019,121,Eric Dier,eng ENG,MF,Tottenham,24,1994,20,18,"1,506",16.7,0.18,0.00,0.18,0.18,0.18
EPL,2018-2019,122,Lucas Digne,fr FRA,DF,Everton,25,1993,35,33,"2,965",32.9,0.12,0.12,0.24,0.12,0.24
EPL,2018-2019,123,Virgil van Dijk,nl NED,DF,Liverpool,27,1991,38,38,"3,384",37.6,0.11,0.05,0.16,0.11,0.16
EPL,2018-2019,124,Issa Diop,fr FRA,DF,West Ham,21,1997,33,33,"2,970",33.0,0.03,0.00,0.03,0.03,0.03
EPL,2018-2019,125,Matt Doherty,ie IRL,"DF,MF",Wolves,26,1992,38,35,"3,144",34.9,0.11,0.14,0.26,0.11,0.26
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,126,Abdoulaye Doucouré,fr FRA,MF,Watford,25,1993,35,34,"3,062",34.0,0.15,0.18,0.32,0.15,0.32
EPL,2018-2019,127,Luke Dreher,eng ENG,MF,Crystal Palace,19,1998,1,0,1,0.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,128,Martin Dúbravka,sk SVK,GK,Newcastle Utd,29,1989,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,129,Shane Duffy,ie IRL,DF,Brighton,26,1992,35,35,"3,087",34.3,0.15,0.03,0.17,0.15,0.17
EPL,2018-2019,130,Demeaco Duhaney,eng ENG,DF,Huddersfield,19,1998,1,1,45,0.5,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,131,Paul Dummett,wal WAL,DF,Newcastle Utd,26,1991,26,21,"1,990",22.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,132,Lewis Dunk,eng ENG,DF,Brighton,26,1991,36,36,"3,151",35.0,0.06,0.03,0.09,0.06,0.09
EPL,2018-2019,133,Erik Durm,de GER,DF,Huddersfield,26,1992,28,21,"2,055",22.8,0.00,0.04,0.04,0.00,0.04
EPL,2018-2019,134,Bruno Ecuele Manga,ga GAB,DF,Cardiff City,30,1988,38,37,"3,376",37.5,0.00,0.03,0.03,0.00,0.03
EPL,2018-2019,135,Ederson,br BRA,GK,Manchester City,24,1993,38,38,"3,420",38.0,0.00,0.03,0.03,0.00,0.03
EPL,2018-2019,136,Harvey Elliot,eng ENG,MF,Fulham,15,2003,2,0,20,0.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,137,Mohamed Elneny,eg EGY,MF,Arsenal,26,1992,8,5,380,4.2,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,138,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,23,1994,16,8,793,8.8,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,139,Christian Eriksen,dk DEN,"MF,FW",Tottenham,26,1992,35,30,"2,774",30.8,0.26,0.39,0.65,0.26,0.65
EPL,2018-2019,140,Neil Etheridge,ph PHI,GK,Cardiff City,28,1990,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,141,Jonny Evans,nir NIR,DF,Leicester City,30,1988,24,21,"1,996",22.2,0.05,0.00,0.05,0.05,0.05
EPL,2018-2019,142,Łukasz Fabiański,pl POL,GK,West Ham,33,1985,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,143,Fabinho,br BRA,MF,Liverpool,24,1993,28,21,"2,017",22.4,0.04,0.09,0.13,0.04,0.13
EPL,2018-2019,144,Cesc Fàbregas,es ESP,MF,Chelsea,31,1987,6,1,180,2.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,145,Fabricio,es ESP,GK,Fulham,30,1987,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,146,Marouane Fellaini,be BEL,MF,Manchester Utd,30,1987,14,6,752,8.4,0.00,0.12,0.12,0.00,0.12
EPL,2018-2019,147,Kiko Femenía,es ESP,DF,Watford,27,1991,29,22,"2,049",22.8,0.04,0.04,0.09,0.04,0.09
EPL,2018-2019,148,Federico Fernández,ar ARG,DF,Newcastle Utd,29,1989,19,17,"1,484",16.5,0.00,0.06,0.06,0.00,0.06
EPL,2018-2019,149,Fernandinho,br BRA,MF,Manchester City,33,1985,29,27,"2,377",26.4,0.04,0.11,0.15,0.04,0.15
EPL,2018-2019,150,Roberto Firmino,br BRA,"FW,MF",Liverpool,26,1991,34,31,"2,607",29.0,0.41,0.21,0.62,0.38,0.59
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,151,Phil Foden,eng ENG,MF,Manchester City,18,2000,13,3,335,3.7,0.27,0.00,0.27,0.27,0.27
EPL,2018-2019,152,Fraser Forster,eng ENG,GK,Southampton,30,1988,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,153,Ben Foster,eng ENG,GK,Watford,35,1983,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,154,Timothy Fosu-Mensah,nl NED,DF,Fulham,20,1998,12,10,793,8.8,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,155,Juan Foyth,ar ARG,DF,Tottenham,20,1998,12,10,888,9.9,0.10,0.00,0.10,0.10,0.10
EPL,2018-2019,156,Simon Francis,eng ENG,DF,Bournemouth,33,1985,17,13,"1,229",13.7,0.00,0.15,0.15,0.00,0.15
EPL,2018-2019,157,Ryan Fraser,sco SCO,"MF,FW",Bournemouth,24,1994,38,35,"3,166",35.2,0.20,0.40,0.60,0.20,0.60
EPL,2018-2019,158,Fred,br BRA,MF,Manchester Utd,25,1993,17,13,"1,041",11.6,0.09,0.09,0.17,0.09,0.17
EPL,2018-2019,159,Ryan Fredericks,eng ENG,DF,West Ham,25,1992,15,12,"1,086",12.1,0.08,0.00,0.08,0.08,0.08
EPL,2018-2019,160,Christian Fuchs,at AUT,DF,Leicester City,32,1986,3,2,207,2.3,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,161,Manolo Gabbiadini,it ITA,"FW,MF",Southampton,26,1991,12,4,476,5.3,0.19,0.00,0.19,0.19,0.19
EPL,2018-2019,162,Sam Gallagher,eng ENG,FW,Southampton,22,1995,4,0,34,0.4,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,163,Idrissa Gana Gueye,sn SEN,MF,Everton,28,1989,33,32,"2,822",31.4,0.00,0.06,0.06,0.00,0.06
EPL,2018-2019,164,James Garner,eng ENG,MF,Manchester Utd,17,2001,1,0,1,0.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,165,Paulo Gazzaniga,ar ARG,GK,Tottenham,26,1992,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,166,David de Gea,es ESP,GK,Manchester Utd,27,1990,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,167,Rachid Ghezzal,dz ALG,"FW,MF",Leicester City,26,1992,19,8,743,8.3,0.12,0.00,0.12,0.12,0.12
EPL,2018-2019,168,Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,18,2000,26,5,663,7.4,0.00,0.14,0.14,0.00,0.14
EPL,2018-2019,169,Ben Gibson,eng ENG,DF,Burnley,25,1993,1,1,62,0.7,1.45,0.00,1.45,1.45,1.45
EPL,2018-2019,170,Olivier Giroud,fr FRA,FW,Chelsea,31,1986,27,7,847,9.4,0.21,0.43,0.64,0.21,0.64
EPL,2018-2019,171,André Gomes,pt POR,MF,Everton,25,1993,27,24,"1,980",22.0,0.05,0.05,0.09,0.05,0.09
EPL,2018-2019,172,Angel Gomes,eng ENG,"MF,FW",Manchester Utd,17,2000,2,0,27,0.3,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,173,Joe Gomez,eng ENG,DF,Liverpool,21,1997,16,12,"1,063",11.8,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,174,Jon Gorenc Stanković,si SVN,"MF,DF",Huddersfield,22,1996,11,9,715,7.9,0.13,0.00,0.13,0.13,0.13
EPL,2018-2019,175,Dan Gosling,eng ENG,MF,Bournemouth,28,1990,25,19,"1,739",19.3,0.10,0.05,0.16,0.10,0.16
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,176,Karlan Grant,eng ENG,"FW,MF",Huddersfield,20,1997,13,9,877,9.7,0.31,0.00,0.31,0.31,0.31
EPL,2018-2019,177,Andre Gray,jm JAM,FW,Watford,27,1991,29,13,"1,366",15.2,0.46,0.13,0.59,0.46,0.59
EPL,2018-2019,178,Demarai Gray,eng ENG,"FW,MF",Leicester City,22,1996,34,23,"1,985",22.1,0.18,0.05,0.23,0.18,0.23
EPL,2018-2019,179,Mason Greenwood,eng ENG,FW,Manchester Utd,16,2001,3,1,117,1.3,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,180,Pascal Groß,de GER,MF,Brighton,27,1991,25,24,"1,864",20.7,0.14,0.14,0.29,0.10,0.24
EPL,2018-2019,181,Vicente Guaita,es ESP,GK,Crystal Palace,31,1987,20,20,"1,754",19.5,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,182,Mattéo Guendouzi,fr FRA,MF,Arsenal,19,1999,33,23,"2,149",23.9,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,183,İlkay Gündoğan,de GER,MF,Manchester City,27,1990,31,23,"2,137",23.7,0.25,0.13,0.38,0.25,0.38
