League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2016-2017,517,Danny Welbeck,eng ENG,"FW,MF",Arsenal,25,1990,16,8,748,8.3,0.24,0.24,0.48,0.24,0.48
EPL,2016-2017,518,Ashley Westwood,eng ENG,MF,Burnley,26,1990,9,6,551,6.1,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,519,Glenn Whelan,ie IRL,MF,Stoke City,32,1984,30,26,"2,275",25.3,0.00,0.04,0.04,0.00,0.04
EPL,2016-2017,520,Connor Wickham,eng ENG,"FW,MF",Crystal Palace,23,1993,8,4,412,4.6,0.44,0.00,0.44,0.44,0.44
EPL,2016-2017,521,Georginio Wijnaldum,nl NED,MF,Liverpool,25,1990,36,33,"2,972",33.0,0.18,0.24,0.42,0.18,0.42
EPL,2016-2017,522,Ashley Williams,wal WAL,DF,Everton,31,1984,36,35,"3,160",35.1,0.03,0.06,0.09,0.03,0.09
EPL,2016-2017,523,Willian,br BRA,"FW,MF",Chelsea,27,1988,34,15,"1,534",17.0,0.47,0.12,0.59,0.47,0.59
EPL,2016-2017,524,Jack Wilshere,eng ENG,MF,Arsenal,24,1992,2,0,39,0.4,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,525,Jack Wilshere,eng ENG,MF,Bournemouth,24,1992,27,22,"1,910",21.2,0.00,0.09,0.09,0.00,0.09
EPL,2016-2017,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2016-2017,526,Callum Wilson,eng ENG,FW,Bournemouth,24,1992,20,16,"1,423",15.8,0.38,0.00,0.38,0.19,0.19
EPL,2016-2017,527,Marc Wilson,ie IRL,DF,West Brom,28,1987,4,3,254,2.8,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,528,Kevin Wimmer,at AUT,DF,Tottenham,23,1992,5,4,357,4.0,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,529,Harry Winks,eng ENG,MF,Tottenham,20,1996,21,3,493,5.5,0.18,0.18,0.37,0.18,0.37
EPL,2016-2017,530,Philipp Wollscheid,de GER,DF,Stoke City,27,1989,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,531,Ben Woodburn,wal WAL,FW,Liverpool,16,1999,5,1,86,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,532,Matt Worthington,eng ENG,"DF,MF",Bournemouth,18,1997,1,0,17,0.2,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,533,Granit Xhaka,ch SUI,MF,Arsenal,23,1992,32,28,"2,485",27.6,0.07,0.07,0.14,0.07,0.14
EPL,2016-2017,534,Claudio Yacob,ar ARG,MF,West Brom,29,1987,33,27,"2,418",26.9,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,535,Maya Yoshida,jp JPN,DF,Southampton,27,1988,23,23,"2,070",23.0,0.04,0.00,0.04,0.04,0.04
EPL,2016-2017,536,Ashley Young,eng ENG,"DF,MF",Manchester Utd,31,1985,12,8,758,8.4,0.00,0.12,0.12,0.00,0.12
EPL,2016-2017,537,Pablo Zabaleta,ar ARG,"DF,MF",Manchester City,31,1985,19,11,"1,036",11.5,0.09,0.09,0.17,0.09,0.17
EPL,2016-2017,538,Wilfried Zaha,ci CIV,"MF,FW",Crystal Palace,23,1992,35,34,"3,019",33.5,0.21,0.24,0.45,0.21,0.45
EPL,2016-2017,539,Mauro Zárate,ar ARG,"FW,MF",Watford,29,1987,3,3,203,2.3,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,540,Simone Zaza,it ITA,FW,West Ham,25,1991,8,5,459,5.1,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,541,Ron-Robert Zieler,de GER,GK,Leicester City,27,1989,9,8,754,8.4,0.00,0.00,0.00,0.00,0.00
EPL,2016-2017,542,Kurt Zouma,fr FRA,DF,Chelsea,21,1994,9,3,250,2.8,0.00,0.00,0.00,0.00,0.00
