Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2014-2015,2015-01-01,Thu,Premier League,Matchweek 20,Away,D 0–0,Crystal Palace,Aston Villa,Y,,90,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,,Match Report
2014-2015,2015-01-04,Sun,FA Cup,Third round,Away,W 4–0,Crystal Palace,Dover Athletic,Y,,74,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-01-10,Sat,Premier League,Matchweek 21,Home,W 2–1,Crystal Palace,Tottenham,Y,,90,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,,,Match Report
2014-2015,2015-01-17,Sat,Premier League,Matchweek 22,Away,W 3–2,Crystal Palace,Burnley,Y,,90,0,0,0,0,0,0,0,0,1,2,0,0,0,7,0,,,Match Report
2014-2015,2015-01-24,Sat,FA Cup,Fourth round,Away,W 3–2,Crystal Palace,Southampton,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-01-31,Sat,Premier League,Matchweek 23,Home,L 0–1,Crystal Palace,Everton,Y,,90,0,0,0,0,0,0,0,0,0,3,0,3,1,2,0,,,Match Report
2014-2015,2015-02-07,Sat,Premier League,Matchweek 24,Away,W 1–0,Crystal Palace,Leicester City,Y,,90,1,0,0,0,1,1,0,0,0,1,0,0,2,4,0,,,Match Report
2014-2015,2015-02-11,Wed,Premier League,Matchweek 25,Home,D 1–1,Crystal Palace,Newcastle Utd,Y,,90,0,0,0,0,1,0,0,0,0,0,1,1,4,1,0,,,Match Report
2014-2015,2015-02-14,Sat,FA Cup,Fifth round,Home,L 1–2,Crystal Palace,Liverpool,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-02-21,Sat,Premier League,Matchweek 26,Home,L 1–2,Crystal Palace,Arsenal,Y,,79,0,0,0,0,0,0,0,0,2,1,0,0,1,5,0,,,Match Report
2014-2015,2015-02-28,Sat,Premier League,Matchweek 27,Away,W 3–1,Crystal Palace,West Ham,N,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,Match Report
2014-2015,2015-03-03,Tue,Premier League,Matchweek 28,Away,L 0–1,Crystal Palace,Southampton,Y,,90,0,0,0,0,0,0,0,0,1,3,0,2,2,3,0,,,Match Report
2014-2015,2015-03-14,Sat,Premier League,Matchweek 29,Home,W 3–1,Crystal Palace,QPR,Y,,90,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0,,,Match Report
2014-2015,2015-03-21,Sat,Premier League,Matchweek 30,Away,W 2–1,Crystal Palace,Stoke City,Y,,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,Match Report
2014-2015,2015-03-28,Sat,Euro Qualifying,Group stage,Away,W 3–0,wal Wales,il Israel,Y,CM,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Match Report
2014-2015,2015-04-06,Mon,Premier League,Matchweek 31,Home,W 2–1,Crystal Palace,Manchester City,Y,,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Match Report
2014-2015,2015-04-11,Sat,Premier League,Matchweek 32,Away,W 4–1,Crystal Palace,Sunderland,N,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Match Report
2014-2015,2015-04-18,Sat,Premier League,Matchweek 33,Home,L 0–2,Crystal Palace,West Brom,Y,,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Match Report
2014-2015,2015-04-25,Sat,Premier League,Matchweek 34,Home,L 0–2,Crystal Palace,Hull City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2015-05-03,Sun,Premier League,Matchweek 35,Away,L 0–1,Crystal Palace,Chelsea,Y,,90,0,0,0,0,1,0,0,0,0,2,0,0,3,1,0,,,Match Report
2014-2015,2015-05-09,Sat,Premier League,Matchweek 36,Home,L 1–2,Crystal Palace,Manchester Utd,Y,,45,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,Match Report
2014-2015,2015-05-16,Sat,Premier League,Matchweek 37,Away,W 3–1,Crystal Palace,Liverpool,Y,,90,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,,,Match Report
2014-2015,2015-06-12,Fri,Euro Qualifying,Group stage,Home,W 1–0,wal Wales,be Belgium,Y,DM,90,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,Match Report
